line_id,sentence,entity,label
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",LANCASTER,ORG
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",WESTMORELAND,ORG
13,"All of one nature, of one substance bred,",one,CARDINAL
13,"All of one nature, of one substance bred,",one,CARDINAL
17,March all one way and be no more opposed,March,DATE
17,March all one way and be no more opposed,one,CARDINAL
21,"As far as to the sepulchre of Christ,",Christ,GPE
24,"Forthwith a power of English shall we levy,",English,LANGUAGE
28,Which fourteen hundred years ago were nail'd,fourteen hundred years ago,DATE
30,"But this our purpose now is twelve month old,",twelve month old,DATE
33,"Of you, my gentle cousin Westmoreland,",Westmoreland,ORG
39,"A post from Wales loaden with heavy news,",Wales,GPE
40,"Whose worst was, that the noble Mortimer,",Mortimer,PERSON
41,Leading the men of Herefordshire to fight,Herefordshire,PRODUCT
42,"Against the irregular and wild Glendower,",Glendower,NORP
43,"Was by the rude hands of that Welshman taken,",Welshman,PERSON
44,"A thousand of his people butchered,",A thousand,CARDINAL
47,By those Welshwomen done as may not be,Welshwomen,ORG
50,Brake off our business for the Holy Land.,the Holy Land,WORK_OF_ART
54,"On Holy-rood day, the gallant Hotspur there,",Hotspur,ORG
55,"Young Harry Percy and brave Archibald,",Harry Percy,PERSON
55,"Young Harry Percy and brave Archibald,",Archibald,PERSON
56,"That ever-valiant and approved Scot,",Scot,PERSON
57,"At Holmedon met,",Holmedon,ORG
65,"Sir Walter Blunt, new lighted from his horse.",Walter Blunt,PERSON
66,Stain'd with the variation of each soil,Stain'd,GPE
67,"Betwixt that Holmedon and this seat of ours,",Betwixt,ORG
67,"Betwixt that Holmedon and this seat of ours,",Holmedon,PERSON
69,The Earl of Douglas is discomfited:,Douglas,PERSON
70,"Ten thousand bold Scots, two and twenty knights,",Ten thousand,CARDINAL
70,"Ten thousand bold Scots, two and twenty knights,",Scots,ORG
70,"Ten thousand bold Scots, two and twenty knights,",two,CARDINAL
71,Balk'd in their own blood did Sir Walter see,Walter,PERSON
72,"On Holmedon's plains. Of prisoners, Hotspur took",Holmedon,PERSON
72,"On Holmedon's plains. Of prisoners, Hotspur took",Hotspur,ORG
74,"To beaten Douglas, and the Earl of Athol,",Douglas,PERSON
74,"To beaten Douglas, and the Earl of Athol,",the Earl of Athol,FAC
75,"Of Murray, Angus, and Menteith:",Murray,PERSON
75,"Of Murray, Angus, and Menteith:",Angus,ORG
75,"Of Murray, Angus, and Menteith:",Menteith,PERSON
85,Who is sweet Fortune's minion and her pride:,Fortune's,WORK_OF_ART
88,Of my young Harry. O that it could be proved,Harry,PERSON
91,"And call'd mine Percy, his Plantagenet!",Percy,PERSON
92,"Then would I have his Harry, and he mine.",Harry,PERSON
94,"Of this young Percy's pride? the prisoners,",Percy,PERSON
97,I shall have none but Mordake Earl of Fife.,Mordake Earl,PERSON
98,"This is his uncle's teaching, this is Worcester,",Worcester,PERSON
104,Our holy purpose to Jerusalem.,Jerusalem,GPE
105,"Cousin, on Wednesday next our council we",Wednesday,DATE
112,SCENE II. London. An apartment of the Prince's.,London,GPE
112,SCENE II. London. An apartment of the Prince's.,Prince,PERSON
114,"Now, Hal, what time of day is it, lad?",Hal,PERSON
115,"Thou art so fat-witted, with drinking of old sack",Thou,PERSON
117,"benches after noon, that thou hast forgotten to",noon,TIME
117,"benches after noon, that thou hast forgotten to",thou,GPE
118,demand that truly which thou wouldst truly know.,thou wouldst,ORG
124,reason why thou shouldst be so superfluous to demand,thou,GPE
126,"Indeed, you come near me now, Hal, for we that take",Hal,PERSON
127,"purses go by the moon and the seven stars, and not",seven,CARDINAL
128,"by Phoebus, he,'that wandering knight so fair.' And,",Phoebus,ORG
129,"I prithee, sweet wag, when thou art king, as, God",thou,GPE
131,"thou wilt have none,--",thou,GPE
136,"Marry, then, sweet wag, when thou art king, let not",Marry,PERSON
136,"Marry, then, sweet wag, when thou art king, let not",thou,GPE
137,us that are squires of the night's body be called,night,TIME
138,thieves of the day's beauty: let us be Diana's,day,DATE
138,thieves of the day's beauty: let us be Diana's,Diana,PERSON
143,"Thou sayest well, and it holds well too, for the",Thou,GPE
147,most resolutely snatched on Monday night and most,Monday night,TIME
148,"dissolutely spent on Tuesday morning, got with",Tuesday,DATE
148,"dissolutely spent on Tuesday morning, got with",morning,TIME
149,"swearing 'Lay by' and spent with crying 'Bring in,'",'Bring,WORK_OF_ART
154,"As the honey of Hybla, my old lad of the castle. And",Hybla,GPE
158,buff jerkin?,buff jerkin,PERSON
163,"No, I'll give thee thy due, thou hast paid all there.",thou,GPE
167,"that thou art heir apparent--But, I prithee, sweet",thou,GPE
168,"wag, shall there be gallows standing in England when",England,GPE
169,thou art king? and resolution thus fobbed as it is,thou,GPE
171,"not thou, when thou art king, hang a thief.",thou,GPE
174,"Thou judgest false already: I mean, thou shalt have",Thou,GPE
174,"Thou judgest false already: I mean, thou shalt have",thou,GPE
176,"Well, Hal, well, and in some sort it jumps with my",Hal,PERSON
181,"hath no lean wardrobe. 'Sblood, I am as melancholy",Sblood,PERSON
184,"Yea, or the drone of a Lincolnshire bagpipe.",Lincolnshire,ORG
187,Thou hast the most unsavoury similes and art indeed,Thou,GPE
189,"prince. But, Hal, I prithee, trouble me no more",Hal,PERSON
192,lord of the council rated me the other day in the,the other day,DATE
196,"Thou didst well, for wisdom cries out in the",Thou,PERSON
198,"O, thou hast damnable iteration and art indeed able",thou,GPE
199,to corrupt a saint. Thou hast done much harm upon,Thou,GPE
200,"me, Hal, God forgive thee for it! Before I knew",Hal,PERSON
201,"thee, Hal, I knew nothing, and now am I, if a man",Hal,PERSON
207,"Where shall we take a purse tomorrow, Jack?",tomorrow,DATE
207,"Where shall we take a purse tomorrow, Jack?",Jack,PERSON
208,"'Zounds, where thou wilt, lad, I'll make one, an I",thou,GPE
212,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a",Hal,PERSON
212,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a",Hal,PERSON
215,Poins! Now shall we know if Gadshill have set a,Gadshill,PERSON
218,most omnipotent villain that ever cried 'Stand' to,Stand,PERSON
220,"Good morrow, Ned.",morrow,DATE
220,"Good morrow, Ned.",Ned,PERSON
221,"Good morrow, sweet Hal. What says Monsieur Remorse?",morrow,DATE
221,"Good morrow, sweet Hal. What says Monsieur Remorse?",Hal,PERSON
221,"Good morrow, sweet Hal. What says Monsieur Remorse?",Monsieur Remorse,PERSON
222,what says Sir John Sack and Sugar? Jack! how,John Sack,PERSON
222,what says Sir John Sack and Sugar? Jack! how,Sugar,GPE
222,what says Sir John Sack and Sugar? Jack! how,Jack,PERSON
223,"agrees the devil and thee about thy soul, that thou",thou,GPE
224,soldest him on Good-Friday last for a cup of Madeira,Good-Friday,DATE
224,soldest him on Good-Friday last for a cup of Madeira,Madeira,ORG
226,"Sir John stands to his word, the devil shall have",John,PERSON
231,"But, my lads, my lads, to-morrow morning, by four",morrow,DATE
231,"But, my lads, my lads, to-morrow morning, by four",morning,TIME
231,"But, my lads, my lads, to-morrow morning, by four",four,CARDINAL
233,"to Canterbury with rich offerings, and traders",Canterbury,GPE
234,riding to London with fat purses: I have vizards,London,GPE
236,Gadshill lies to-night in Rochester: I have bespoke,Rochester,GPE
237,supper to-morrow night in Eastcheap: we may do it,night,TIME
237,supper to-morrow night in Eastcheap: we may do it,Eastcheap,GPE
241,"Hear ye, Yedward, if I tarry at home and go not,",Yedward,PERSON
248,"royal, if thou darest not stand for ten shillings.",ten,CARDINAL
252,"By the Lord, I'll be a traitor then, when thou art king.",thou,GPE
254,"Sir John, I prithee, leave the prince and me alone:",John,PERSON
262,countenance. Farewell: you shall find me in Eastcheap.,Eastcheap,GPE
263,"Farewell, thou latter spring! farewell, All-hallown summer!",summer,DATE
264,Exit Falstaff,Exit Falstaff,FAC
267,"manage alone. Falstaff, Bardolph, Peto and Gadshill",Bardolph,GPE
267,"manage alone. Falstaff, Bardolph, Peto and Gadshill",Peto,ORG
286,"Well, for two of them, I know them to be as",two,CARDINAL
288,"third, if he fight longer than he sees reason, I'll",third,ORDINAL
296,"necessary and meet me to-morrow night in Eastcheap,",night,TIME
296,"necessary and meet me to-morrow night in Eastcheap,",Eastcheap,GPE
299,Exit Poins,Exit Poins,FAC
323,Exit,Exit,GPE
324,SCENE III. London. The palace.,London,GPE
325,"Enter the KING, NORTHUMBERLAND, WORCESTER, HOTSPUR, SIR WALTER BLUNT, with others",NORTHUMBERLAND,ORG
325,"Enter the KING, NORTHUMBERLAND, WORCESTER, HOTSPUR, SIR WALTER BLUNT, with others",HOTSPUR,ORG
327,"Unapt to stir at these indignities,",Unapt,ORG
347,Exit Worcester,Exit Worcester,PERSON
352,"Which Harry Percy here at Holmedon took,",Harry Percy,PERSON
352,"Which Harry Percy here at Holmedon took,",Holmedon,PERSON
355,"Either envy, therefore, or misprison",misprison,PERSON
369,"Took it in snuff, and still he smiled and talk'd,",talk'd,ORG
399,Whate'er Lord Harry Percy then had said,Whate'er,ORG
399,Whate'er Lord Harry Percy then had said,Harry Percy,PERSON
408,"His brother-in-law, the foolish Mortimer,",Mortimer,PERSON
411,"Against that great magician, damn'd Glendower,",Glendower,PRODUCT
412,"Whose daughter, as we hear, the Earl of March",March,DATE
419,Whose tongue shall ask me for one penny cost,one penny,MONEY
420,To ransom home revolted Mortimer.,Mortimer,PERSON
421,Revolted Mortimer!,Revolted Mortimer,PERSON
424,"Needs no more but one tongue for all those wounds,",one,CARDINAL
426,"When on the gentle Severn's sedgy bank,",Severn,ORG
428,He did confound the best part of an hour,an hour,TIME
430,Three times they breathed and three times did,Three,CARDINAL
430,Three times they breathed and three times did,three,CARDINAL
432,"Upon agreement, of swift Severn's flood,",Severn,ORG
439,Nor could the noble Mortimer,Mortimer,PERSON
442,"Thou dost belie him, Percy, thou dost belie him,",Thou,PERSON
442,"Thou dost belie him, Percy, thou dost belie him,",Percy,GPE
446,As Owen Glendower for an enemy.,Owen Glendower,PERSON
448,Let me not hear you speak of Mortimer:,Mortimer,PERSON
451,"As will displease you. My Lord Northumberland,",My Lord Northumberland,PERSON
454,"Exeunt King Henry, Blunt, and train",Blunt,PERSON
458,Albeit I make a hazard of my head.,Albeit,GPE
462,Speak of Mortimer!,Mortimer,GPE
467,But I will lift the down-trod Mortimer,Mortimer,PERSON
469,As this ingrate and canker'd Bolingbroke.,Bolingbroke,ORG
476,Trembling even at the name of Mortimer.,Mortimer,GPE
478,By Richard that dead is the next of blood?,Richard,PERSON
482,"Upon his Irish expedition,",Irish,NORP
487,"But soft, I pray you, did King Richard then",King Richard,PERSON
488,Proclaim my brother Edmund Mortimer,Edmund Mortimer,PERSON
498,"Being the agents, or base second means,",second,ORDINAL
503,"Shall it for shame be spoken in these days,",these days,DATE
508,"To put down Richard, that sweet lovely rose,",Richard,PERSON
509,"An plant this thorn, this canker, Bolingbroke?",Bolingbroke,ORG
542,But out upon this half-faced fellowship!,half,CARDINAL
547,Those same noble Scots,Scots,WORK_OF_ART
548,"That are your prisoners,--","prisoners,--",ORG
551,"No, if a Scot would save his soul, he shall not:",Scot,PERSON
557,"He said he would not ransom Mortimer,",Mortimer,PERSON
558,"Forbad my tongue to speak of Mortimer,",Mortimer,GPE
560,And in his ear I'll holla 'Mortimer!',Mortimer,PERSON
561,"Nay,",Nay,ORG
563,"Nothing but 'Mortimer,' and give it him",Mortimer,PERSON
567,Save how to gall and pinch this Bolingbroke:,Bolingbroke,ORG
568,"And that same sword-and-buckler Prince of Wales,",Prince of Wales,ORG
572,"Farewell, kinsman: I'll talk to you",kinsman,PERSON
579,"Of this vile politician, Bolingbroke.",Bolingbroke,ORG
580,"In Richard's time,--what do you call the place?--",Richard,PERSON
581,"A plague upon it, it is in Gloucestershire,",Gloucestershire,GPE
583,"His uncle York, where I first bow'd my knee",uncle York,GPE
583,"His uncle York, where I first bow'd my knee",first,ORDINAL
586,When you and he came back from Ravenspurgh.,Ravenspurgh,FAC
587,At Berkley castle.,Berkley,ORG
592,"And 'gentle Harry Percy,' and 'kind cousin,'",Harry Percy,PERSON
598,Then once more to your Scottish prisoners.,Scottish,NORP
600,And make the Douglas' son your only mean,Douglas,PERSON
601,"For powers in Scotland, which, for divers reasons",Scotland,GPE
604,To Northumberland,Northumberland,ORG
605,"Your son in Scotland being thus employ'd,",Scotland,GPE
611,"His brother's death at Bristol, the Lord Scroop.",Bristol,ORG
618,"Before the game is afoot, thou still let'st slip.",thou,GPE
620,"And then the power of Scotland and of York,",Scotland,GPE
621,"To join with Mortimer, ha?",Mortimer,PERSON
636,"I'll steal to Glendower and Lord Mortimer,",Glendower,NORP
636,"I'll steal to Glendower and Lord Mortimer,",Mortimer,PERSON
637,"Where you and Douglas and our powers at once,",Douglas,PERSON
642,"Uncle, Adieu: O, let the hours be short",Adieu,PERSON
646,SCENE I. Rochester. An inn yard.,I. Rochester,PERSON
648,"Heigh-ho! an it be not four by the day, I'll be",four,CARDINAL
648,"Heigh-ho! an it be not four by the day, I'll be",the day,DATE
649,"hanged: Charles' wain is over the new chimney, and",Charles,PERSON
651,"[Within]   Anon, anon.",Anon,LOC
652,"I prithee, Tom, beat Cut's saddle, put a few flocks",Tom,PERSON
652,"I prithee, Tom, beat Cut's saddle, put a few flocks",Cut,ORG
658,house is turned upside down since Robin Ostler died.,house,ORG
658,house is turned upside down since Robin Ostler died.,Robin Ostler,PERSON
662,London road for fleas: I am stung like a tench.,London,GPE
665,the first cock.,first,ORDINAL
666,"Why, they will allow us ne'er a jordan, and then we",jordan,GPE
670,"I have a gammon of bacon and two razors of ginger,",two,CARDINAL
679,"Good morrow, carriers. What's o'clock?",morrow,DATE
680,I think it be two o'clock.,two o'clock,TIME
683,"Nay, by God, soft, I know a trick worth two of that, i' faith.",two,CARDINAL
686,"he? marry, I'll see thee hanged first.",first,ORDINAL
687,"Sirrah carrier, what time do you mean to come to London?",London,GPE
693,"What, ho! chamberlain!",ho,PERSON
698,thou layest the plot how.,thou,GPE
700,"Good morrow, Master Gadshill. It holds current that",Master Gadshill,PERSON
702,wild of Kent hath brought three hundred marks with,Kent,PERSON
702,wild of Kent hath brought three hundred marks with,three hundred marks,MONEY
703,him in gold: I heard him tell it to one of his,one,CARDINAL
704,"company last night at supper, a kind of auditor, one",last night,TIME
704,"company last night at supper, a kind of auditor, one",one,CARDINAL
708,"Sirrah, if they meet not with Saint Nicholas'",Sirrah,PERSON
