line_id,line,noun_phrase
0,ACT I,ACT I
1,SCENE I. London. The palace.,SCENE I. London
1,SCENE I. London. The palace.,The palace
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",KING HENRY
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",LORD JOHN
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",LANCASTER
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",the EARL
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",WESTMORELAND
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",SIR WALTER BLUNT
2,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",others
3,"So shaken as we are, so wan with care,",we
3,"So shaken as we are, so wan with care,",care
4,"Find we a time for frighted peace to pant,",we
4,"Find we a time for frighted peace to pant,",frighted peace
5,And breathe short-winded accents of new broils,short-winded accents
5,And breathe short-winded accents of new broils,new broils
6,To be commenced in strands afar remote.,strands
7,No more the thirsty entrance of this soil,No more the thirsty entrance
7,No more the thirsty entrance of this soil,this soil
8,"Shall daub her lips with her own children's blood,",her lips
8,"Shall daub her lips with her own children's blood,",her own children's blood
9,"Nor more shall trenching war channel her fields,",war channel
9,"Nor more shall trenching war channel her fields,",her fields
10,Nor bruise her flowerets with the armed hoofs,her flowerets
10,Nor bruise her flowerets with the armed hoofs,the armed hoofs
11,"Of hostile paces: those opposed eyes,",hostile paces
12,"Which, like the meteors of a troubled heaven,",Which
12,"Which, like the meteors of a troubled heaven,",the meteors
12,"Which, like the meteors of a troubled heaven,",a troubled heaven
13,"All of one nature, of one substance bred,",All
13,"All of one nature, of one substance bred,",one nature
13,"All of one nature, of one substance bred,",one substance
14,Did lately meet in the intestine shock,the intestine shock
15,And furious close of civil butchery,And furious close
15,And furious close of civil butchery,civil butchery
16,"Shall now, in mutual well-beseeming ranks,",mutual well-beseeming ranks
17,March all one way and be no more opposed,March
18,"Against acquaintance, kindred and allies:",acquaintance
18,"Against acquaintance, kindred and allies:",allies
19,"The edge of war, like an ill-sheathed knife,",The edge
19,"The edge of war, like an ill-sheathed knife,",war
19,"The edge of war, like an ill-sheathed knife,",an ill-sheathed knife
20,"No more shall cut his master. Therefore, friends,",his master
20,"No more shall cut his master. Therefore, friends,","Therefore, friends"
21,"As far as to the sepulchre of Christ,",the sepulchre
21,"As far as to the sepulchre of Christ,",Christ
22,"Whose soldier now, under whose blessed cross",Whose soldier
22,"Whose soldier now, under whose blessed cross",whose blessed cross
23,"We are impressed and engaged to fight,",We
24,"Forthwith a power of English shall we levy,",a power
24,"Forthwith a power of English shall we levy,",English
24,"Forthwith a power of English shall we levy,",we
25,Whose arms were moulded in their mothers' womb,Whose arms
25,Whose arms were moulded in their mothers' womb,their mothers' womb
26,To chase these pagans in those holy fields,these pagans
26,To chase these pagans in those holy fields,those holy fields
27,Over whose acres walk'd those blessed feet,whose acres
27,Over whose acres walk'd those blessed feet,those blessed feet
28,Which fourteen hundred years ago were nail'd,Which
29,For our advantage on the bitter cross.,our advantage
29,For our advantage on the bitter cross.,the bitter cross
30,"But this our purpose now is twelve month old,",this
30,"But this our purpose now is twelve month old,",our purpose
31,And bootless 'tis to tell you we will go:,tis
31,And bootless 'tis to tell you we will go:,you
31,And bootless 'tis to tell you we will go:,we
32,Therefore we meet not now. Then let me hear,we
32,Therefore we meet not now. Then let me hear,me
33,"Of you, my gentle cousin Westmoreland,",you
