line_id,sentence,word,chosen_synset,definition
410,The lives of those that he did lead to fight,lead,spark_advance.n.01,the timing of ignition relative to the position of the piston in an internal-combustion engine
426,"When on the gentle Severn's sedgy bank,",bank,bank.n.01,sloping land (especially the slope beside a body of water)
435,"And hid his crisp head in the hollow bank,",bank,depository_financial_institution.n.01,a financial institution that accepts deposits and channels the money into lending activities
807,"from your encounter, then they light on us.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
825,"Come, neighbour: the boy shall lead our horses down",lead,lead.n.04,a position of leadership (especially in the phrase `take the lead')
875,your whole plot too light for the counterpoise of so,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
939,Bid Butler lead him forth into the park.,lead,lead.n.04,a position of leadership (especially in the phrase `take the lead')
960,To play with mammets and to tilt with lips:,play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
1007,"cry  'hem!' and bid you play it off. To conclude, I",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
1039,as to play the coward with thy indenture and show it,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
1105,"prithee, call in Falstaff: I'll play Percy, and",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
1106,that damned brawn shall play Dame Mortimer his,play,play.n.08,activity by children that is guided more by imagination than by fixed rules
1112,"lead this life long, I'll sew nether stocks and mend",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
1270,merry? shall we have a play extempore?,play,play.v.02,act or have an effect in a specified way or with a specific effect or outcome
1422,and I'll play my father.,play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
1475,"Out, ye rogue! Play out the play: I have much to",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
1782,And those musicians that shall play to you,play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
2002,As ever offer'd foul play in the state.,play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
2053,"for the light in thy face, the son of utter",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
2058,"perpetual triumph, an everlasting bonfire-light!",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
2080,"Who, I? no, I defy thee: God's light, I was never",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
2365,"Ay, by my faith, that bears a frosty sound.",sound,sound.v.04,announce by means of a sound
2640,"Doth play the trumpet to his purposes,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
2656,"Where you did give a fair and natural light,",light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
2889,"Sound all the lofty instruments of war,",sound,sound.n.02,the subjective sensation of hearing something
2893,"The trumpets sound. They embrace, and exeunt",sound,sound.n.01,the particular auditory effect produced by a given cause
2934,"lead, and as heavy too: God keep lead out of me! I",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
2974,"My Lord of Westmoreland, lead him to his tent.",lead,spark_advance.n.01,the timing of ignition relative to the position of the piston in an internal-combustion engine
2975,"Come, my lord, I'll lead you to your tent.",lead,run.v.23,cause something to pass or lead somewhere
2976,"Lead me, my lord? I do not need your help:",lead,run.v.23,cause something to pass or lead somewhere
3053,"boy's play here, I can tell you.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
3157,"The trumpets sound. Enter KING HENRY IV, PRINCE  HENRY, LORD JOHN LANCASTER, EARL OF WESTMORELAND, with WORCESTER and VERNON prisoners",sound,fathom.v.02,measure the depth of (a body of water) with a sounding line
3274,Will make him burst his lead and rise from death.,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
