sent_id,noun_phrase
0,ACT
1,The palace
3,care
4,a time
4,frighted peace
6,afar remote
7,the thirsty entrance
7,this soil
8,blood
9,war channel
10,hoofs
12,a troubled heaven
13,nature
13,substance
14,the intestine shock
15,furious close
15,civil butchery
16,Shall
17,way
18,acquaintance
19,The edge
19,war
19,an ill-sheathed knife
20,master
21,the sepulchre
22,soldier
22,cross
24,a power
25,womb
29,advantage
29,the bitter cross
30,purpose
30,twelve month
31,bootless 't
33,gentle cousin
34,council
35,this dear expedience
36,liege
36,this haste
36,question
37,the charge
38,yesternight
39,A post
39,loaden
39,heavy news
44,A thousand
45,dead corpse
45,such misuse
46,shameless transformation
48,much shame
49,this broil
50,business
51,This match
51,gracious lord
52,unwelcome news
53,Came
53,import
54,day
58,a sad
58,bloody hour
59,discharge
59,artillery
60,shape
60,likelihood
60,the news
61,heat
62,pride
62,contention
62,horse
63,Uncertain
63,the issue
63,any way
64,a dear
64,a true industrious friend
65,horse
66,the variation
66,each soil
67,this seat
68,welcome news
71,own blood
73,son
76,an honourable spoil
77,A gallant prize
77,ha
77,cousin
78,faith
79,a conquest
79,a prince
79,boast
80,Yea
80,sin
81,envy
82,the father
82,a son
83,A son
83,the theme
83,honour
83,tongue
84,a grove
84,straightest plant
85,minion
85,pride
86,the praise
87,riot
87,dishonour
87,the brow
89,some night-tripping fairy
91,Plantagenet
92,mine
94,pride
95,this adventure hath
96,own use
96,word
97,none
98,uncle
98,teaching
99,Malevolent
101,The crest
101,youth
101,dignity
103,this cause
105,council
107,speed
109,anger
110,liege
111,Exeunt
112,An apartment
114,time
114,day
115,art
115,drinking
115,old sack
116,thee
116,supper
117,noon
117,thou hast forgotten
118,demand
118,thou wouldst
119,a devil hast thou
119,the time
120,day
120,sack
121,bawds
122,the blessed sun
123,a fair hot wench
123,flame-coloured taffeta
124,reason
124,thou shouldst
125,the time
125,the day
127,the moon
129,sweet wag
129,thou art king
130,thy grace
130,majesty
130,grace
131,thou
131,none
132,none
133,troth
134,prologue
134,an egg
134,butter
136,sweet wag
136,thou art king
137,the night
137,body
138,the day
138,beauty
139,the shade
140,moon
140,good government
141,the sea
